phase,component,status,metric,value,evidence_path
phase_4_7,evidence,PASS,commands_evaluated,30,results/prototype4_extensions/phase_4_7/ambiguity_gate_summary.json
phase_4_7,evidence,PASS,execute_count,24,results/prototype4_extensions/phase_4_7/ambiguity_gate_summary.json
phase_4_7,evidence,PASS,clarify_count,4,results/prototype4_extensions/phase_4_7/ambiguity_gate_summary.json
phase_4_7,evidence,PASS,reject_count,2,results/prototype4_extensions/phase_4_7/ambiguity_gate_summary.json
phase_4_7,evidence,PASS,results_csv_rows,30,results/prototype4_extensions/phase_4_7/ambiguity_gate_summary.json
phase_4_7,check,PASS,evidence_exists,True,results/prototype4_extensions/phase_4_7/ambiguity_gate_summary.json
phase_4_7,check,PASS,commands_evaluated_is_30,True,results/prototype4_extensions/phase_4_7/ambiguity_gate_summary.json
phase_4_7,check,PASS,results_csv_rows_match_commands,True,results/prototype4_extensions/phase_4_7/ambiguity_gate_summary.json
phase_4_7,check,PASS,decision_counts_recorded,True,results/prototype4_extensions/phase_4_7/ambiguity_gate_summary.json
phase_4_8,evidence,PASS,clarification_cases_evaluated,5,results/prototype4_extensions/phase_4_8/clarification_recovery_summary.json
phase_4_8,evidence,PASS,recovered_cases,5,results/prototype4_extensions/phase_4_8/clarification_recovery_summary.json
phase_4_8,evidence,PASS,recovery_rate,1.0,results/prototype4_extensions/phase_4_8/clarification_recovery_summary.json
phase_4_8,evidence,PASS,results_csv_rows,5,results/prototype4_extensions/phase_4_8/clarification_recovery_summary.json
phase_4_8,check,PASS,evidence_exists,True,results/prototype4_extensions/phase_4_8/clarification_recovery_summary.json
phase_4_8,check,PASS,clarification_cases_evaluated_is_5,True,results/prototype4_extensions/phase_4_8/clarification_recovery_summary.json
phase_4_8,check,PASS,results_csv_rows_match_cases,True,results/prototype4_extensions/phase_4_8/clarification_recovery_summary.json
phase_4_8,check,PASS,recovered_cases_is_5,True,results/prototype4_extensions/phase_4_8/clarification_recovery_summary.json
phase_4_8,check,PASS,recovery_rate_is_1,True,results/prototype4_extensions/phase_4_8/clarification_recovery_summary.json
phase_4_9,evidence,PASS,formal_safety_cases_evaluated,18,results/prototype4_extensions/phase_4_9/formal_safety_audit_summary.json
phase_4_9,evidence,PASS,expected_unsafe_cases,10,results/prototype4_extensions/phase_4_9/formal_safety_audit_summary.json
phase_4_9,evidence,PASS,unsafe_cases_correctly_rejected,10,results/prototype4_extensions/phase_4_9/formal_safety_audit_summary.json
phase_4_9,evidence,PASS,unsafe_rejection_rate,1.0,results/prototype4_extensions/phase_4_9/formal_safety_audit_summary.json
phase_4_9,evidence,PASS,critical_violations_detected,7,results/prototype4_extensions/phase_4_9/formal_safety_audit_summary.json
phase_4_9,evidence,PASS,results_csv_rows,18,results/prototype4_extensions/phase_4_9/formal_safety_audit_summary.json
phase_4_9,check,PASS,evidence_exists,True,results/prototype4_extensions/phase_4_9/formal_safety_audit_summary.json
phase_4_9,check,PASS,formal_safety_cases_evaluated_is_18,True,results/prototype4_extensions/phase_4_9/formal_safety_audit_summary.json
phase_4_9,check,PASS,results_csv_rows_match_cases,True,results/prototype4_extensions/phase_4_9/formal_safety_audit_summary.json
phase_4_9,check,PASS,expected_unsafe_cases_is_10,True,results/prototype4_extensions/phase_4_9/formal_safety_audit_summary.json
phase_4_9,check,PASS,unsafe_cases_correctly_rejected_is_10,True,results/prototype4_extensions/phase_4_9/formal_safety_audit_summary.json
phase_4_9,check,PASS,unsafe_rejection_rate_is_1,True,results/prototype4_extensions/phase_4_9/formal_safety_audit_summary.json
phase_4_9,check,PASS,critical_violations_detected_is_7,True,results/prototype4_extensions/phase_4_9/formal_safety_audit_summary.json
global,isolation,PASS,outputs_under_prototype4_extensions,True,results/prototype4_extensions/
global,isolation,PASS,locked_core_not_required_for_audit,True,results/prototype4_extensions/
global,isolation,PASS,phase_4_10_writes_only_own_results_folder,True,results/prototype4_extensions/
global,documentation,PASS,phase_4_7_exists,True,docs/prototype4_extensions/
global,documentation,PASS,phase_4_8_exists,True,docs/prototype4_extensions/
global,documentation,PASS,phase_4_9_exists,True,docs/prototype4_extensions/
global,source,PASS,phase_4_7_exists,True,src/extensions/
global,source,PASS,phase_4_8_exists,True,src/extensions/
global,source,PASS,phase_4_9_exists,True,src/extensions/
global,tests,PASS,phase_4_7_exists,True,tests/extensions/
global,tests,PASS,phase_4_8_exists,True,tests/extensions/
global,tests,PASS,phase_4_9_exists,True,tests/extensions/
phase_4_10,freeze,PASS,audit_status,PASS,results/prototype4_extensions/phase_4_10/extension_audit_summary.json
phase_4_10,freeze,PASS,freeze_statement,The Prototype 4 optional extension track is frozen at Phase 4.10. It remains isolated from the locked MSc core and should be treated as an optional advanced contribution rather than a dependency of the main Prototype 4 evidence pipeline.,docs/prototype4_extensions/phase_4_10_extension_audit_and_freeze.md
