case_id,audit_type,expected_safe,passed,violation_rule_ids,critical_violation_count,rule_ids_checked,subject
spec_case_001,action_plan,True,True,[],0,"[""FS-001"", ""FS-002"", ""FS-003"", ""FS-004"", ""FS-005"", ""FS-006"", ""FS-007"", ""FS-008"", ""FS-009""]","{""action"": ""describe_scene""}"
spec_case_002,action_plan,True,True,[],0,"[""FS-001"", ""FS-002"", ""FS-003"", ""FS-004"", ""FS-005"", ""FS-006"", ""FS-007"", ""FS-008"", ""FS-009""]","{""action"": ""reset""}"
spec_case_003,action_plan,True,True,[],0,"[""FS-001"", ""FS-002"", ""FS-003"", ""FS-004"", ""FS-005"", ""FS-006"", ""FS-007"", ""FS-008"", ""FS-009""]","{""action"": ""open_gripper"", ""width"": 0.06}"
spec_case_004,action_plan,True,True,[],0,"[""FS-001"", ""FS-002"", ""FS-003"", ""FS-004"", ""FS-005"", ""FS-006"", ""FS-007"", ""FS-008"", ""FS-009""]","{""action"": ""close_gripper"", ""force"": 10.0}"
spec_case_005,action_plan,True,True,[],0,"[""FS-001"", ""FS-002"", ""FS-003"", ""FS-004"", ""FS-005"", ""FS-006"", ""FS-007"", ""FS-008"", ""FS-009""]","{""action"": ""move_ee"", ""target"": ""bin_A""}"
spec_case_006,action_plan,True,True,[],0,"[""FS-001"", ""FS-002"", ""FS-003"", ""FS-004"", ""FS-005"", ""FS-006"", ""FS-007"", ""FS-008"", ""FS-009""]","{""action"": ""move_ee"", ""target_xyz"": [0.25, -0.25, 0.4]}"
spec_case_007,action_plan,True,True,[],0,"[""FS-001"", ""FS-002"", ""FS-003"", ""FS-004"", ""FS-005"", ""FS-006"", ""FS-007"", ""FS-008"", ""FS-009""]","{""action"": ""pick"", ""object"": ""red_cube""}"
spec_case_008,action_plan,True,True,[],0,"[""FS-001"", ""FS-002"", ""FS-003"", ""FS-004"", ""FS-005"", ""FS-006"", ""FS-007"", ""FS-008"", ""FS-009""]","{""action"": ""place"", ""object"": ""blue_cylinder"", ""target"": ""right_tray""}"
spec_case_009,action_plan,False,False,"[""FS-001""]",1,"[""FS-001"", ""FS-002"", ""FS-003"", ""FS-004"", ""FS-005"", ""FS-006"", ""FS-007"", ""FS-008"", ""FS-009""]",{}
spec_case_010,action_plan,False,False,"[""FS-002""]",1,"[""FS-001"", ""FS-002"", ""FS-003"", ""FS-004"", ""FS-005"", ""FS-006"", ""FS-007"", ""FS-008"", ""FS-009""]","{""action"": ""fly_to_zone"", ""target"": ""bin_A""}"
spec_case_011,action_plan,False,False,"[""FS-005""]",1,"[""FS-001"", ""FS-002"", ""FS-003"", ""FS-004"", ""FS-005"", ""FS-006"", ""FS-007"", ""FS-008"", ""FS-009""]","{""action"": ""move_ee"", ""target"": ""unknown_zone""}"
spec_case_012,action_plan,False,False,"[""FS-004""]",1,"[""FS-001"", ""FS-002"", ""FS-003"", ""FS-004"", ""FS-005"", ""FS-006"", ""FS-007"", ""FS-008"", ""FS-009""]","{""action"": ""move_ee"", ""target_xyz"": [999, 0, 0]}"
spec_case_013,action_plan,False,False,"[""FS-009""]",0,"[""FS-001"", ""FS-002"", ""FS-003"", ""FS-004"", ""FS-005"", ""FS-006"", ""FS-007"", ""FS-008"", ""FS-009""]","{""action"": ""reset"", ""unsafe_override"": true}"
spec_case_014,action_plan,False,False,"[""FS-006""]",0,"[""FS-001"", ""FS-002"", ""FS-003"", ""FS-004"", ""FS-005"", ""FS-006"", ""FS-007"", ""FS-008"", ""FS-009""]","{""action"": ""open_gripper"", ""width"": 0.2}"
spec_case_015,action_plan,False,False,"[""FS-007""]",1,"[""FS-001"", ""FS-002"", ""FS-003"", ""FS-004"", ""FS-005"", ""FS-006"", ""FS-007"", ""FS-008"", ""FS-009""]","{""action"": ""close_gripper"", ""force"": 90.0}"
spec_case_016,action_plan,False,False,"[""FS-008""]",0,"[""FS-001"", ""FS-002"", ""FS-003"", ""FS-004"", ""FS-005"", ""FS-006"", ""FS-007"", ""FS-008"", ""FS-009""]","{""action"": ""pick"", ""object"": ""unknown_object""}"
spec_case_017,gate_decision,False,False,"[""FS-010""]",1,"[""FS-010""]","{""command"": ""Move it there."", ""gate_decision"": {""decision"": ""CLARIFY"", ""execution_authorised"": true}}"
spec_case_018,gate_decision,False,False,"[""FS-010""]",1,"[""FS-010""]","{""command"": ""Do the unsafe thing."", ""gate_decision"": {""decision"": ""REJECT"", ""execution_authorised"": true}}"
