path,category,phase,role,description,expected_exists,row_count_if_csv,notes
datasets/prototype3_results/benchmark_v1.json,input,Phase 4.2,benchmark,"Imported Prototype 3 30-command pilot benchmark.",true,n/a,"JSON benchmark; 30 command objects."
datasets/prototype3_results/rq5_comparison.jsonl,input,Phase 4.2,row-level evidence,"Imported Prototype 3 row-level RQ5 evidence used as primary Phase 4 input.",true,n/a,"JSONL evidence; 120 non-empty rows."
datasets/prototype3_results/rq5_comparison.csv,input,Phase 4.2,summary provenance,"Imported Prototype 3 aggregate RQ5 comparison summary.",true,4,"CSV rows exclude header."
specs/prototype3_reference/action_schema.py,input,Phase 4.2,reference source,"Prototype 3 action schema source excerpt.",true,n/a,"Read-only reference evidence."
specs/prototype3_reference/safety.py,input,Phase 4.2,reference source,"Prototype 3 safety validator source excerpt.",true,n/a,"Read-only reference evidence."
specs/prototype3_reference/uncertainty.py,input,Phase 4.2,reference source,"Prototype 3 uncertainty gate source excerpt.",true,n/a,"Read-only reference evidence."
specs/prototype3_reference/scoring.py,input,Phase 4.2,reference source,"Prototype 3 semantic scoring source excerpt.",true,n/a,"Read-only reference evidence."
specs/prototype3_reference/action_schema_contract.md,input,Phase 4.2,reference spec,"Prototype 3 action schema contract.",true,n/a,"Read-only reference evidence."
specs/prototype3_reference/benchmark_plan.md,input,Phase 4.2,reference spec,"Prototype 3 benchmark plan.",true,n/a,"Read-only reference evidence."
specs/prototype3_reference/evaluation_plan.md,input,Phase 4.2,reference spec,"Prototype 3 evaluation plan.",true,n/a,"Read-only reference evidence."
specs/prototype3_reference/safety_gate.md,input,Phase 4.2,reference spec,"Prototype 3 safety gate notes.",true,n/a,"Read-only reference evidence."
specs/prototype3_reference/semantic_scoring_rules.md,input,Phase 4.2,reference spec,"Prototype 3 semantic scoring rules.",true,n/a,"Read-only reference evidence."
results/summaries/prototype4_execution_comparison.csv,generated output,Phase 4.3,execution comparison,"Long-form baseline trust model versus zero-trust execution comparison.",true,240,"CSV rows exclude header."
results/summaries/prototype4_by_ambiguity.csv,summary,Phase 4.3,aggregate summary,"Prototype 4 outcomes aggregated by ambiguity level and mode.",true,6,"CSV rows exclude header."
results/summaries/prototype4_by_model.csv,summary,Phase 4.3,aggregate summary,"Prototype 4 outcomes aggregated by model and mode.",true,8,"CSV rows exclude header."
results/summaries/prototype4_false_accepts.csv,derived analysis,Phase 4.3,false-accept evidence,"Rows identified as false accepts by the deterministic execution-readiness evaluator.",true,76,"CSV rows exclude header."
results/summaries/prototype4_key_metrics.md,summary,Phase 4.3,key metrics memo,"Human-readable Prototype 4 key metrics and interpretation.",true,n/a,"Markdown summary."
results/summaries/safety_latency_frontier.csv,derived analysis,Phase 4.4,frontier evidence,"Safety-latency frontier across validation stringency configurations.",true,4,"CSV rows exclude header."
results/summaries/safety_latency_frontier.md,summary,Phase 4.4,frontier summary,"Human-readable safety-latency frontier table and notes.",true,n/a,"Markdown summary."
results/evidence_pack/README.md,evidence pack,Phase 4.5,overview,"Evidence pack overview, schema notes, assumptions, limitations, and dissertation interpretation.",true,n/a,"Markdown documentation."
results/evidence_pack/metrics_manifest.json,evidence pack,Phase 4.5,metrics manifest,"Structured metrics manifest for reproducibility and audit.",true,n/a,"JSON manifest."
results/evidence_pack/reproduction_commands.md,evidence pack,Phase 4.5,reproduction commands,"Commands and recommended order for reproducing Phase 4.3 and Phase 4.4 outputs.",true,n/a,"Markdown documentation."
results/evidence_pack/file_manifest.csv,evidence pack,Phase 4.5,file manifest,"Manifest of key input, output, summary, and evidence-pack files.",true,n/a,"This file."
